state_label,state_voltage,image_frames,vapor_area_fraction_mean,vapor_area_fraction_std,active_length_fraction_mean,vapor_front_x_px_mean,thermal_rows,time_start_s,time_end_s,voltage_mean_v,power_mean_w,heat_flux_mean_w_cm2,inlet_subcooling_mean_c,pressure_drop_mean_kpa,htc_mean_w_m2k,quality_x7_mean,ae_hits,ae_hit_rate_hz,ae_abs_energy_rate,ae_amp_mean_db,ae_ch1_hit_rate_hz,ae_ch2_hit_rate_hz,case_label,mass_flow_g_s,subcooling_nominal_c
54,54.0,8,0.2665858677455357,0.0228974456535418,0.6778564453125,1020.875,160,677.0,692.9,54.03323839375,100.30897553125,35.01185882417103,20.25455152521591,0.8733888803800005,8354.734551809783,-0.1939042836148458,13112.0,824.6540880503156,786568.5719397495,42.99383770591824,480.6289308176108,344.0251572327049,15gs_20C,15.0,20.0
55 CHF,55.0,8,0.2828369140625,0.0147973006271924,0.6785888671875,1020.875,217,734.0,772.7,55.036215078341016,104.00721672350232,36.30269344624863,20.11765333432385,0.8798320315437785,7482.504583964429,-0.1894079841980967,61.0,1.5762273901808768,350.10227444444405,40.74918032786885,0.2842377260981908,1.2919896640826858,15gs_20C,15.0,20.0
30_Onset,30.0,6,0.120854259672619,0.014888611992962,0.27587890625,1020.6666666666666,220,79.0,102.9,29.933293163636367,31.051238459090904,10.838128607012536,18.9923808574599,0.8205515349672725,5250.547368593924,-0.2409176218580188,5957.0,249.24686192468613,10265.92663012552,39.37688433775391,97.23849372384934,152.00836820083677,25gs_20C,25.0,20.0
35,35.0,6,0.1126488095238095,0.0406251060368677,0.2708333333333333,1022.5,160,211.0,226.9,34.9381056125,42.19959609375,14.729352912303668,19.118927468065458,0.6254153067525008,5806.746853591736,-0.2376565956410905,29064.0,1827.924528301886,280833.8216151571,41.35704651802917,974.40251572327,853.522012578616,25gs_20C,25.0,20.0
40,40.0,6,0.1216052827380952,0.0121664957289204,0.2967122395833333,1022.5,120,255.0,266.9,39.94660421666666,55.05900085833333,19.217801346713205,19.181010305886524,0.4726837399850005,6599.289953962284,-0.2326672811425867,15414.0,1295.2941176470613,513650.8992488245,42.95993252886986,714.369747899161,580.9243697479003,25gs_20C,25.0,20.0
45,45.0,6,0.0777692522321428,0.0133063050019109,0.2840169270833333,1021.5,120,306.0,317.9,44.96904726666666,69.64265824166665,24.3080831559046,19.23551869208785,0.277145566429998,7522.683623908856,-0.2268056631856325,13813.0,1160.7563025210106,580096.5302284885,43.30802866864549,680.0840336134466,480.67226890756393,25gs_20C,25.0,20.0
50,50.0,6,0.132426525297619,0.0090204952828883,0.4615885416666667,1021.8333333333334,150,386.0,400.9,49.99969821333333,85.9881808,30.01332663176266,19.27711632733724,0.1462302438759993,8440.64776893957,-0.2199800702273762,16573.0,1112.281879194633,570253.6214797323,43.40126712122127,621.6107382550346,490.6711409395981,25gs_20C,25.0,20.0
55,55.0,6,0.1749744233630952,0.0199837050262142,0.5388997395833334,1022.3333333333334,120,451.0,462.9,55.03358765,104.04684952499998,36.31652688481677,19.358425814828895,0.4091486198383322,8997.118171560436,-0.2127767702021998,10009.0,841.0924369747916,666533.4077175643,44.19760215805775,489.83193277311017,351.26050420168133,25gs_20C,25.0,20.0
57.5,57.5,6,0.1980701264880952,0.0165267570801349,0.59912109375,1022.1666666666666,200,512.0,579.9,57.561146465,113.710438315,39.689507265270514,19.30832057420205,0.5967009151889998,8783.827184689404,-0.2076503209669714,26046.0,383.5935198821798,987299.7166928134,46.36617138908086,222.68041237113408,160.91310751104572,25gs_20C,25.0,20.0
59CHF,59.0,6,0.1817685081845238,0.0179036856325895,0.5652669270833334,1020.1666666666666,98,593.0,602.7,59.07083399999999,119.63742394897962,41.75826315845711,19.13045530846321,0.3397757407857145,8125.415930198715,-0.2025121025484386,2399.0,247.3195876288648,1332164.95973453,47.86969570654439,143.40206185566944,103.9175257731954,25gs_20C,25.0,20.0
