case_label,state_label,image_frames_from_metrics,vapor_area_fraction_n,vapor_area_fraction_mean,vapor_area_fraction_std,vapor_area_fraction_sem,vapor_area_fraction_ci95_half_width,vapor_area_fraction_relative_ci95_half_width,active_length_fraction_n,active_length_fraction_mean,active_length_fraction_std,active_length_fraction_sem,active_length_fraction_ci95_half_width,active_length_fraction_relative_ci95_half_width,state_voltage,heat_flux_mean_w_cm2,multimodal_complete,sampling_warning
25gs_20C,45,6,6,0.07776925223214282,0.013306305001910946,0.005432276269420894,0.01396638228868112,0.1795874576110258,6,0.2840169270833333,0.027974155123954837,0.011420401006525477,0.029361850987777,0.10338063751799537,45.0,24.3080831559046,True,short_sample
25gs_20C,50,6,6,0.13242652529761903,0.009020495282888312,0.003682601778376494,0.009467969172205966,0.07149601751557999,6,0.4615885416666667,0.021050906528938467,0.008593996603153702,0.02209516526670817,0.04786766410389809,50.0,30.01332663176266,True,short_sample
25gs_20C,55,6,6,0.1749744233630952,0.019983705026214254,0.008158313414086077,0.020975023787615305,0.1198747987532403,6,0.5388997395833334,0.03994327655818656,0.01630677437040496,0.04192471690631115,0.07779687727948525,55.0,36.31652688481677,True,short_sample
25gs_20C,57.5,6,6,0.1980701264880952,0.016526757080134964,0.006747020324876644,0.017346589255257852,0.08757801876953136,6,0.59912109375,0.018014865247152054,0.007354537940086683,0.018908517043962864,0.031560426166288465,57.5,39.689507265270514,True,short_sample
25gs_20C,59CHF,6,6,0.1817685081845238,0.017903685632589518,0.007309149052507098,0.018791822213995748,0.10338326700089916,6,0.5652669270833334,0.02777572200373513,0.011339391024424371,0.029153574323795062,0.05157488069259915,59.0,41.75826315845711,True,short_sample
5gs_22C,25,6,6,0.07170991443452378,0.016111500550634858,0.006577492556604269,0.016910733363029576,0.23582141320877284,6,0.2796223958333333,0.038820867237516946,0.01584855268404088,0.040746628950669106,0.14572019107852793,25.0,7.543859019197209,True,short_sample
5gs_22C,27.5,6,6,0.04305943080357139,0.013842848218161051,0.005651319120214982,0.01452954145807272,0.3374299470969232,6,0.2734375,0.03942701023083271,0.016096009524838695,0.04138284048836029,0.15134295950028906,27.5,9.11818181750187,True,short_sample;wide_vapor_ci
5gs_22C,30,6,6,0.040197172619047566,0.004241398772415692,0.0017315437980142336,0.004451799104694595,0.11074906055917712,6,0.30029296875,0.009721580363081888,0.003968818563835242,0.010203832527620409,0.03397959189685625,30.0,10.84249413083717,True,short_sample
5gs_22C,35,6,6,0.04820731026785712,0.004312028933061699,0.001760378440353154,0.004525932970147959,0.09388478521204048,6,0.3670247395833333,0.029429495833538773,0.012014541363255584,0.030889385844930107,0.08416159052383618,35.0,14.732384749490985,True,short_sample
5gs_22C,37.5,6,6,0.053738839285714234,0.005761668080674804,0.0023521911441556956,0.006047483431624294,0.11253468649502331,6,0.3976236979166667,0.01187102669616085,0.004846326354758547,0.012459905058084225,0.03133592168516966,37.5,16.908572971600826,True,short_sample
5gs_22C,40,6,6,0.07007765997023806,0.005647196094307525,0.0023054581514152512,0.005927332907288611,0.0845823463541155,6,0.4384765625,0.017425553143121456,0.00711395228106653,0.01828997131462205,0.04171254037009572,40.0,19.22794486661681,True,short_sample
5gs_22C,42.5,6,6,0.08557710193452378,0.00933100717452658,0.0038093677273065172,0.009793884426905056,0.1144451518631525,6,0.4944661458333333,0.032563149160795696,0.01329384997701462,0.03417848829090459,0.06912199870286959,42.5,21.70133495886313,True,short_sample
5gs_22C,45,6,6,0.11908947172619043,0.023458351738050096,0.009576831994158942,0.02462203505698264,0.20675240808518683,6,0.5284830729166666,0.03592591029717046,0.014666691462177934,0.037708063749259474,0.07135150713749622,45.0,24.335048216176016,True,short_sample
5gs_22C,47.5,6,6,0.22658807663690472,0.0301477721909175,0.012307776458236061,0.03164329327412491,0.13965118440380955,6,0.6661783854166666,0.045702359880525734,0.01865791029138887,0.04796948735916079,0.07200697051910186,47.5,27.090955078534037,True,short_sample
5gs_22C,49,6,6,0.2649181547619047,0.011994223374200629,0.004896621187959114,0.012589213074242883,0.047521141333471247,6,0.69775390625,0.029548076700014195,0.0120629517992759,0.03101384907593834,0.04444811959938539,49.0,28.82738267686938,True,short_sample
5gs_22C,50,6,6,0.30799386160714287,0.021550523601814354,0.008797964419041843,0.02261956652135658,0.0734416147235059,6,0.75341796875,0.021015389026323886,0.008579496643429755,0.0220578858702579,0.029277090254237317,50.0,30.017721527050615,True,short_sample
5gs_22C,52CHF,6,6,0.3479771205357142,0.0198605294863254,0.008108027210499488,0.020845737958194183,0.05990548437811648,6,0.80517578125,0.009259336965729344,0.0037801084870878574,0.009718658920302882,0.012070232546258523,52.0,32.42097546377094,True,short_sample
